"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"eb1449","Spartina foliosa","Alice Eastwood","East Bay CNPS Rare and Unusual Plants Database","1921-01-01",1921,,,,,,,"Alameda",37.7633,-122.273,"Alameda (shore): Alameda Marsh",
"eb6184","Spartina foliosa","J. Thomas Howell","East Bay CNPS Rare and Unusual Plants Database","1932-01-01",1932,,,,,,,"Contra Costa",38.0394,-122.272,"Rodeo Creek: tidal flat at mouth",
"eb1450","Spartina foliosa","H.S. Yates","East Bay CNPS Rare and Unusual Plants Database","1936-01-01",1936,,,,,,,"Alameda",37.7652,-122.242,"Alameda: Between Alameda & Melrose",
"eb3437","Spartina foliosa","A.A. Beetle","East Bay CNPS Rare and Unusual Plants Database","1940-01-01",1940,,,,,,,"Alameda",37.8569,-122.299,"Berkeley (shore)",
"wb936-17","Salicornia pacifica","staff","UCLA Herbarium","1943-05-09",1943,"Mature",,,,,"Other / Unknown","Los Angeles",34.02998534,-118.83361249,"at mouth of canyon",
"wb936-18","Salicornia pacifica","staff","UCLA Herbarium","1943-05-09",1943,"Mature",,,,,"Other / Unknown","Los Angeles",34.02998534,-118.83361249,"at mouth of canyon",
"eb4186","Spartina foliosa","R.W. Pohl","East Bay CNPS Rare and Unusual Plants Database","1952-01-01",1952,,,,,,,"Contra Costa",37.90917,-122.32467,"Richmond (shore): Waterfront, tidal marsh along SF Bay  (Listed as ElCerrito, but ElCerrito city limits do not extend to the bay)",
"wb936-16","Salicornia pacifica","staff","UCLA Herbarium","1959-09-06",1959,"Flowering",,,,,"Other / Unknown","Los Angeles",34.03574324,-118.68317996,"mouth of creek",
"gr13959","Salicornia virginica","Barbour, M. G.","USDA NRCS-National Plants Data Center: Botanical Literature","1970-01-01",1970,,"x",,,,"Public Land","Sonoma",38.311,-123.066,"Flora and plant communities of Bodega Head",
"gr7980","Salicornia virginica","staff","The Nature Conservancy","1976-01-01",1976,,"x",,,,"Public Land","Santa Barbara",34.9199982,-120.6500015,"Nipomo Dunes Preserve",
"casp110","Salicornia virginica","Barry, 1977","California State Parks","1977-01-01",1977,,"x",,,,"State Government","Monterey",36.51678,-121.9518,"Point Lobos SR",
"casp115","Salicornia virginica","Muns, 1978","California State Parks","1978-01-01",1978,,"x",,,,"State Government","Ventura",34.11203,-119.00458,"Point Mugu SP",
"xr327132","Salicornia virginica","Anonymous occasional","G.F. Hrusa checklists","1979-01-01",1979,,,,,,,"San Luis Obispo",35.0028,-120.618,"Coastal Dunes; Hwy 1 south from Oceano, 5 miles to Oso Flaco Lake.",
"xr327133","Salicornia virginica","Knight, Walter","G.F. Hrusa checklists","1980-01-01",1980,,,,,,,"Contra Costa",38.03333,-121.86667,"Sacramento River Delta; Accessible by boat from Port of Stockton.",
"casp9","Salicornia virginica","Ripley, 1980","California State Parks","1980-01-01",1980,,"x",,,,"State Government","Marin",37.86183,-122.43099,"Angel Island SP",
"jgr23219","Salicornia pacifica","Jeff Greenhouse",,"1980-05-11",1980,,,,,,"Other / Unknown","Alameda",37.7652065,-122.2416355,"Alameda",
"jgr21633","Salicornia pacifica","Jeff Greenhouse",,"1981-08-23",1981,,,,,,"Other / Unknown","Sonoma",38.33325,-123.06,"Bodega Bay - Doran Park",
"casp106","Salicornia virginica","Ferreira, 1984","California State Parks","1984-01-01",1984,,"x",,,,"State Government","San Mateo",37.26168,-122.40388,"Pescadero SB",
"xr327135","Salicornia virginica","Ferren, Wayne R. Pollard 15 Aug 1955 (CAS)","G.F. Hrusa checklists","1985-01-01",1985,,,,,,,"Santa Barbara",34.41667,-119.5,"Santa Ynez Mountains; Calif. Hwy 101, S of Santa Barbara to Carpinteria.",
"gr6969","Salicornia virginica","Jim Barry et al.","Monterey CNPS","1985-01-01",1985,,"x",,,,"Public Land","Monterey",36.516,-121.943,"Point Lobos State Reserve",
"casp98","Salicornia virginica","Ferreira, 1985","California State Parks","1985-01-01",1985,,"x",,,,"State Government","Monterey",36.81542,-121.79096,"Moss Landing SB",
"casp122","Salicornia virginica","Ferreira, 1985","California State Parks","1985-01-01",1985,,"x",,,,"State Government","Monterey",36.77493,-121.7968,"Salinas River SB",
"jgr19760","Salicornia pacifica","Jeff Greenhouse",,"1985-08-17",1985,,,,,,"Other / Unknown","Marin",37.8308,-122.531,"Rodeo Lagoon",
"casp94","Salicornia virginica","Showers, 1986","California State Parks","1986-01-01",1986,,"x",,,,"State Government","San Luis Obispo",35.26393,-120.84469,"Montaﾱa de Oro SP",
"casp96","Salicornia virginica","Showers, 1986","California State Parks","1986-01-01",1986,,"x",,,,"State Government","San Luis Obispo",35.34143,-120.81795,"Morro Bay SP",
"casp18","Spartina foliosa","Showers, 1987","California State Parks","1987-01-01",1987,,"x",,,,"State Government","Solano",38.07157,-122.19435,"Benicia SRA",
"casp18","Salicornia virginica","Showers, 1987","California State Parks","1987-01-01",1987,,"x",,,,"State Government","Solano",38.07157,-122.19435,"Benicia SRA",
"gr5138","Salicornia virginica","Bob Muns","Tom Chester","1988-01-01",1988,,"x",,,,"Public Land","Los Angeles",34.0368,-118.683,"Malibu Lagoon State Park",
"gr5141","Salicornia virginica","Bob Muns","Tom Chester","1988-01-01",1988,,"x",,,,"Public Land","Ventura",34.1122,-118.99,"Point Mugu State Park",
"casp74","Salicornia virginica","DPR Staff, 1988","California State Parks","1988-01-01",1988,,"x",,,,"State Government","Los Angeles",34.00973,-118.36637,"Kenneth Hahn SRA",
"jgr20707","Salicornia pacifica","Jeff Greenhouse",,"1989-02-26",1989,,,,,,"Other / Unknown","Santa Clara",37.4512,-122.0999,"Palo Alto Baylands",
"jgr20722","Salicornia pacifica","Jeff Greenhouse",,"1989-02-26",1989,,,,,,"Other / Unknown","Alameda",37.6132,-122.111,"Hayward Regional Shoreline",
"jgr19930","Spartina foliosa","Jeff Greenhouse",,"1989-08-12",1989,,,,,,"Other / Unknown","Contra Costa",38.0002,-122.368,"Point Pinole Regional Shoreline",
"jgr19926","Spartina foliosa","Jeff Greenhouse",,"1989-09-10",1989,,,,,,"Other / Unknown","Contra Costa",38.0002,-122.368,"Point Pinole Regional Shoreline",
"gr13882","Salicornia virginica","Ken Himes","Santa Clara Valley CNPS","1989-10-21",1989,,"x",,,,"Public Land","San Mateo",37.2638,-122.404,"Pescadero Marsh",
