"ID","Taxon","Common","Observer","Source","Date","Year","Phenology",,"InfestedArea_squarem",,"GrossArea_acre","Percent_Cover","Distribution","National Ownership","County","x","y","Location Description","description"
,"Carpobrotus edulis","Iceplant","none",,"1863-01-01",1863,,,,,1,,,,,38.529649,-121.577233,"near Sacramento – origin point",
,"Carpobrotus edulis","Iceplant",,,"1869-01-01",1868,,,,,1,,,,,,,,
"wb897-77","Carpobrotus edulis","Iceplant","staff","UCLA Herbarium","1958-09-19",1958,"Flowering",,,,1,,,"Other / Unknown","Los Angeles",34.01900617,-118.81388357,"0.2 mi E of turnoff to Zuma Beach on Pacific Coast Hwy",
,"Carpobrotus edulis","Iceplant",,,"1960-01-01",1960,,,,,1,,,,,,,,
"gr13959","Mesembryanthemum edule","Iceplant","Barbour, M. G.","USDA NRCS-National Plants Data Center: Botanical Literature","1970-01-01",1970,,,,,,,,"Public Land","Sonoma",38.311,-123.066,"Flora and plant communities of Bodega Head",
"casp123","Carpobrotus edulis","Iceplant","Wright, 1975","California State Parks","1975-01-01",1975,,,,,,,,"State Government","Sonoma",38.58174,-123.32747,"Salt Point SP",
"wb897-75","Carpobrotus edulis","Iceplant","staff","UCLA Herbarium","1975-04-26",1975,"Flowering",,,,,,,"Other / Unknown","Los Angeles",34.0228061,-118.83129203,"W of Point Dume",
"gr3288","Layia carnosa","Beach Layia","Barker, Linda M.","G.F. Hrusa checklists","1976-01-01",1976,,,,,,,,"Public Land","Humboldt",40.88333,-124.15,"Lanphere-Christensen Dunes North Coast; Eureka to Samoa access.",
"casp110","Carpobrotus edulis","Iceplant","Barry, 1977","California State Parks","1977-01-01",1977,,,,,,,,"State Government","Monterey",36.51678,-121.9518,"Point Lobos SR",
"gr14116","Carpobrotus edulis","Iceplant","Hektner, M;  Foin, T.","G.F. Hrusa checklists","1977-01-01",1977,,,,,,,,"Private Landowner","Sonoma",38.73333,-123.48333,"Sea Ranch North Coast; Hwy 1 on W side above Ft. Ross. (private)",
235048,"Riparia riparia","Bank Swallow","greglasley","inaturalist","1977-08-26",1977,,,,,,,,,,30.2188026984,-97.6486301422,"Hornsby Bend Wastewater Treatment Ponds and Wildlife Area","This record gleaned from field journals I kept between 1968 and 2002. The first 6500+ records I posted on iNat had photo documentation, but now I am posting these records which do not have photos just to provide the data point for the species and location as best as I can for the historical record. I will also add a number to represent the approximate number of individuals of this species I recorded on the given day if more than one."
237596,"Riparia riparia","Bank Swallow","greglasley","inaturalist","1977-09-10",1977,,,,,,,,,,29.2789610585,-103.2169094234,"Big Bend National Park","This record gleaned from field journals I kept between 1968 and 2002. The first 6500+ records I posted on iNat had photo documentation, but now I am posting these records which do not have photos just to provide the data point for the species, date, and location as best as I can for the historical record. I will also add a number to represent the approximate number of individuals of this species I recorded on the given day if more than one."
236145,"Riparia riparia","Bank Swallow","greglasley","inaturalist","1977-09-24",1977,,,,,,,,,,30.2188026984,-97.6488018036,"Hornsby Bend Wastewater Treatment Ponds and Wildlife Area","This record gleaned from field journals I kept between 1968 and 2002. The first 6500+ records I posted on iNat had photo documentation, but now I am posting these records which do not have photos just to provide the data point for the species, date, and location as best as I can for the historical record. I will also add a number to represent the approximate number of individuals of this species I recorded on the given day if more than one.
"
"casp47","Carpobrotus edulis","Iceplant","Trumbley, 1978","California State Parks","1978-01-01",1978,,,,,,,,"State Government","San Mateo",37.56442,-122.51354,"Gray Whale Cove SB",
"casp93","Carpobrotus edulis","Iceplant","Trumbley, 1978","California State Parks","1978-01-01",1978,,,,,,,,"State Government","San Mateo",37.56298,-122.50149,"Montara SB",
"casp115","Carpobrotus edulis","Iceplant","Muns, 1978","California State Parks","1978-01-01",1978,,,,,,,,"State Government","Ventura",34.11203,-119.00458,"Point Mugu SP",
"xr325022","Carpobrotus edulis","Iceplant","Anonymous occasional","G.F. Hrusa checklists","1979-01-01",1979,,,,,,,,,"San Luis Obispo",35.0028,-120.618,"Coastal Dunes; Hwy 1 south from Oceano, 5 miles to Oso Flaco Lake.",
"casp46","Carpobrotus edulis","Iceplant","Resource Pres & Inter, 1979","California State Parks","1979-01-01",1979,,,,,,,,"State Government","Santa Barbara",34.48889,-120.22856,"Gaviota SP",
"casp9","Carpobrotus edulis","Iceplant","Ripley, 1980","California State Parks","1980-01-01",1980,,,,,,,,"State Government","Marin",37.86183,-122.43099,"Angel Island SP",
"jgr22838","Carpobrotus edulis","Iceplant","Jeff Greenhouse",,"1980-03-09",1980,,,,,,,,"Other / Unknown","Marin",37.9060368,-122.5449763,"Mill Valley",
"casp87","Carpobrotus edulis","Iceplant","Finney, 1982","California State Parks","1982-01-01",1982,,,,,,,,"State Government","Ventura",34.20092,-119.24746,"Mandalay SB",
"casp33","Oenothera wolfii","Wolf's Evening Primrose","Olive et al., 1983","California State Parks","1983-01-01",1983,,,,,,,,"State Government","Del Norte",41.69853,-124.05954,"Del Norte Coast Redwoods SP",
"casp118","Oenothera wolfii","Wolf's Evening Primrose","Olive et al., 1983","California State Parks","1983-01-01",1983,,,,,,,,"State Government","Humboldt",41.40379,-124.03842,"Prairie Creek Redwoods SP",
"casp88","Carpobrotus edulis","Iceplant","Ferreira, 1983","California State Parks","1983-01-01",1983,,,,,,,,"State Government","Monterey",36.68991,-121.81046,"Marina SB",
"xr325023","Carpobrotus edulis","Iceplant","Ferren, W. et al. LP 373a","G.F. Hrusa checklists","1984-01-01",1984,,,,,,,,,"Santa Barbara",34.65,-120.41667,"Burton Mesa-Purisima Hills",
"gr6976","Carpobrotus edulis","Iceplant","Jim Griffin, Lee Dittman et al.","Monterey CNPS","1985-01-01",1985,,,,,,,,"Public Land","Monterey",36.5744,-121.6689,"Toro County Park Salinas",
"gr6969","Carpobrotus edulis","Iceplant","Jim Barry et al.","Monterey CNPS","1985-01-01",1985,,,,,,,,"Public Land","Monterey",36.516,-121.943,"Point Lobos State Reserve",
"casp95","Carpobrotus edulis","Iceplant","Ferreira, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","Monterey",36.60935,-121.86196,"Monterey SB",
"casp98","Carpobrotus edulis","Iceplant","Ferreira, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","Monterey",36.81542,-121.79096,"Moss Landing SB",
"casp122","Carpobrotus edulis","Iceplant","Ferreira, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","Monterey",36.77493,-121.7968,"Salinas River SB",
"casp148","Carpobrotus edulis","Iceplant","Ferreira, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","Monterey",36.84175,-121.80466,"Zmudowski SB",
"casp28","Carpobrotus edulis","Iceplant","Sampson, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","San Bernardino",33.91299,-117.7317,"Chino Hills SP",
"xr325025","Carpobrotus edulis","Iceplant","Ferren, Wayne R. Ferren 1794, 1948a","G.F. Hrusa checklists","1985-01-01",1985,,,,,,,,,"Santa Barbara",34.41667,-119.5,"Santa Ynez Mountains; Calif. Hwy 101, S of Santa Barbara to Carpinteria.",
"casp130","Carpobrotus edulis","Iceplant","Ferreira, 1985","California State Parks","1985-01-01",1985,,,,,,,,"State Government","Santa Cruz",36.8802,-121.82709,"Sunset SB",
"casp94","Carpobrotus edulis","Iceplant","Showers, 1986","California State Parks","1986-01-01",1986,,,,,,,,"State Government","San Luis Obispo",35.26393,-120.84469,"Montaﾱa de Oro SP",
"casp96","Carpobrotus edulis","Iceplant","Showers, 1986","California State Parks","1986-01-01",1986,,,,,,,,"State Government","San Luis Obispo",35.34143,-120.81795,"Morro Bay SP",
"casp97","Carpobrotus edulis","Iceplant","Showers, 1986","California State Parks","1986-01-01",1986,,,,,,,,"State Government","San Luis Obispo",35.397,-120.86792,"Morro Strand SB",
"wb897-76","Carpobrotus edulis","Iceplant","staff","UCLA Herbarium","1986-03-19",1986,"Flowering",,,,,,,"Other / Unknown","Los Angeles",34.04548442,-118.94010427,"0.3 mi W of Mulholland Hwy on Pacific Coast Hwy",
"jgr13077","Layia carnosa","Beach Layia","Jeff Greenhouse",,"1986-04-20",1986,,,,,,,,"Other / Unknown","Marin",38.1174,-122.953,"Point Reyes - Abbott's Lagoon",
