"story","Year"
"<p><img src='../img/iceplant.png'>Native to South Africa, Iceplant was brought to California in the late 19th century and used during the construction of the Continental Railroad to stabilize soil next to railroad tracks.</p>",1864
"<p>As the highway system grows, Caltrans also uses iceplant to shore up soil along roads.</p>",1959
"<p>Up until the 1970’s, thousands of acres were planted. <img src='../img/icesantacruz2.png'></p>",1978
"<p>The ice plant is a rhizomatic plant, which means that it has an underground stem that runs horizontally beneath the ground, able to produce new shoots and roots from its nodes.</p>",1980
"<p>An individual plant can grow more than three feet in diameter in one year.</p>",1983
"<p>Where ice plant grows on dunes, its growth forms dense mats that restrict the natural movement of sand, which most native dune species need.</p>",1986
"<p>One such species, the Bank Swallow, nests within the dunes. On March 3, 1989 the Bank Swallow is listed as endangered.<img src='../img/bankswallowl.png'></p>",1989
"The dense mats, in addition to a higher soil salinity credited to ice plant, push out native plants as well.",1992
"<p>By 1994, Indian Clover in the Bay Area is nearly all gone.<br/><img src='../img/indianclover.png'></p>",1994
"<p><h2><a href='http://articles.latimes.com/2002/may/04/local/me-outthere4'>Ice Plant Getting Cold Reception From Naturalists</a></h2><br/><i>LA Times</i> (May 04, 2002)</p>",2002
"<p><a href='https://baynature.org/articles/beachfront-property/'><i>Bank Swallows Dig in at Fort Funston</i></a>,<br/>Bay Nature Magazine (July 01, 2006)<br/><br/><img src='../img/bankswallow.png'></p>",2006
"<p>Diana Immel (a rare-plant ecologist) reintroduced the showy Indian clover to Point Reyes National Seashore in Marin County, California.</p>",2007
"<p>The Snowy Plover...<img src='../img/snowyplover.jpg'></p>",2010
"<p>Pink Sand Verbena...<img src='../img/pinksandverbena.png'></p>",2012
