"Year","Taxon","Common","Low_Plant","High_Plant","County","x","y","description"
1905,"Cordylanthus mollis ssp. mollis","Soft bird's-beak",,1000,,37.71717,-122.503487,"Iceplant was widely planted in the early 1900s to stabilize sand dunes."
1930,"Symphyotrichum lentum","Suisun marsh aster",,1000,,37.901432,-120.856028,"The first published record of perennial pepperweed in California is from 1936, when it was collected on a ranch north of Oakdale in Stanislaus County."
1935,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.927837,-122.58021,
1936,"Cordylanthus mollis ssp. mollis","Soft bird's-beak",,1,"Marin",37.9110234,-122.6055765,
1938,"Chloropyron molle ssp. molle","Soft bird's-beak",,1,"Marin",37.9122,-122.5933,
1942,"Cordylanthus mollis ssp. mollis","Soft bird's-beak",,1,"Marin",37.9255727,-122.6107907,
1944,"Chloropyron molle ssp. molle","Soft bird's-beak",,1,"Marin",37.9455173,-122.6103401,
1945,"Cordylanthus mollis ssp. mollis","Soft bird's-beak",,1,"Marin",38.1557,-122.5646,
1945,"Chloropyron molle ssp. molle","Soft bird's-beak",,1,"Marin",38.1557,-122.5646,
1945,"Cordylanthus mollis","Soft bird's beak",,1,"Marin",38.1557,-122.5646,
1945,"Cordylanthus mollis ssp. mollis","Soft bird's-beak",,1,"Marin",38.1557,-122.5646,
1945,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",38.1557,-122.5646,
1945,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",38.1557,-122.5646,
1950,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.9129,-122.5997,
1950,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.9128856,-122.5922727,
1950,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.9110234,-122.6055765,
1958,"Chloropyron molle ssp. hispidum","Hispid bird's-beak",,1,"Marin",37.9165,-122.5942,
1958,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.9273,-122.59169,
1958,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",38.1581,-122.5642,
1958,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",38.15717,-122.55462,
1961,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.884221,-122.472254,
1961,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",37.884221,-122.472254,
1966,"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak",,1,"Marin",38.157997,-122.562904,
1971,"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle",,1,"Marin",37.8743,-122.4551,
1971,"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle",,1,"Marin",37.9321,-122.51,
1972,"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle",,1,"Marin",38.204593,-122.783945,
1972,"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle",,1,"Marin",38.204593,-122.783945,
