"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"xr179667","Cytisus scoparius","Stewart","California Dept of Food and Agriculture","1964-01-01",1964,,,,,,,"Shasta",40.7175,-122.417,"Summit City; Shasta Dam.",
"xr179615","Cytisus scoparius","Wade","California Dept of Food and Agriculture","1967-02-03",1967,,,,,,,"Shasta",40.64602,-122.7185,"Buckhorn Summit; ca 5 mi W/ jct Hwy 299W & Fr Gulch Rd.",
"xr179743","Cytisus scoparius","Wade","California Dept of Food and Agriculture","1967-02-03",1967,,,,,,,"Shasta",40.85981,-121.90707,"Hillcrest; S side old Hwy 299, ca 2 mi NE/ Montgomery Cr.",
"xr180011","Cytisus scoparius","Wade","California Dept of Food and Agriculture","1967-02-03",1967,,,,,,,"Shasta",41.05211,-122.37279,"Delta; 10 mi N, at Shiloob Spr. Resort.",
"casp123","Cytisus scoparius","Wright, 1975","California State Parks","1975-01-01",1975,,"x",,,,"State Government","Sonoma",38.58174,-123.32747,"Salt Point SP",
"gr3288","Cytisus scoparius","Barker, Linda M.","G.F. Hrusa checklists","1976-01-01",1976,,"x",,,,"Public Land","Humboldt",40.88333,-124.15,"Lanphere-Christensen Dunes North Coast; Eureka to Samoa access.",
"casp38","Cytisus scoparius","Mott and Bartlett, 1976","California State Parks","1976-01-01",1976,,"x",,,,"State Government","Nevada",39.20589,-121.04388,"Empire Mine SHP",
"casp141","Cytisus scoparius","Harriton, 1976","California State Parks","1976-01-01",1976,,"x",,,,"State Government","Santa Cruz",36.99171,-122.10623,"Wilder Ranch SP",
"casp102","Cytisus scoparius","Resource Preservation, 1978","California State Parks","1978-01-01",1978,,"x",,,,"State Government","Marin",37.89619,-122.60279,"Mount Tamalpais SP",
"casp9","Cytisus scoparius","Ripley, 1980","California State Parks","1980-01-01",1980,,"x",,,,"State Government","Marin",37.86183,-122.43099,"Angel Island SP",
"xr179736","Cytisus scoparius","Fuller","California Dept of Food and Agriculture","1980-04-28",1980,,,,,,,"Shasta",40.84451,-122.32621,"O'Brien; 0.3 km S/ Gilman Rd, E side N bound I-5. Field Note.",
"xr179808","Cytisus scoparius","Fuller","California Dept of Food and Agriculture","1980-04-28",1980,,,,,,,"Shasta",40.90234,-122.38364,"Antlers; E side I-5, 0.5 km N/ Riverside Dr.",
