"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"xr178751","Ulex europaeus","Hartman, H.T.","California Dept of Food and Agriculture","1942-02-23",1942,,,,,,,"Mendocino","39.37954","-123.81459","dry road 1 mi N of Caspar, high bluff near ocean.",
"xr176218","Ulex europaeus","Raven 1284","California Dept of Food and Agriculture","1949-11-20",1949,,,,,,,"Alameda","37.802","-122.1989","Dimond Cyn, 1.5 mi up, 700 ft. el.",
"xr179661","Ulex europaeus","Gladish, E.N.","California Dept of Food and Agriculture","1957-08-12",1957,,,,,,,"Humboldt","40.7104","-123.8251","localized in 40 acre cut over area, 5 mil SE of Maple Creek. Specimen from UC soil veg. survey.",
"xr179690","Ulex europaeus","Fuller, T.C. 1714","California Dept of Food and Agriculture","1958-06-17",1958,,,,,,,"Humboldt","40.7539","-124.1837","mouth of Elk River.",
"xr178450","Ulex europaeus","Niehaus, T.","California Dept of Food and Agriculture","1959-04-03",1959,,,,,,,"Nevada","39.20512","-121.06462","ca. 100 yes S of Powder House, Boyce Thompson Inst. of Plant Research property. (could not be relocated in 1980).",
"xr180976","Ulex europaeus","Anderson, J.","California Dept of Food and Agriculture","1960-08-24",1960,,,,,,,"Del Norte","41.7486","-124.2022","Fairgrounds. Field note only, no confirming specimen.",
"xr181000","Ulex europaeus","Anderson, J.","California Dept of Food and Agriculture","1960-08-24",1960,,,,,,,"Del Norte","41.7778","-124.2214","Airport. Field note only, no confirming specimen.",
"xr176411","Ulex europaeus","Fuller 6131","California Dept of Food and Agriculture","1961-05-04",1961,,,,,,,"Marin","37.9754","-122.5466","Dollar Estate, NW of San Rafael. Dominant on hillslope.",
"xr176136","Ulex europaeus","Fuller, T.C. 7183","California Dept of Food and Agriculture","1961-11-01",1961,,,,,,,"San Francisco","37.7153","-122.4002","One large clump of shrubs, several smaller shrubs and seedlings, vacant lot, NW corner 3rd & Egbert Sts.",
"xr175529","Ulex europaeus","Fuller 7715","California Dept of Food and Agriculture","1962-02-28",1962,,,,,,,"Monterey","36.581","-121.9332","dump area NE of Lopez & Sunridge Rds., 17-Mile Dr. Several hundred plants.",
"xr178723","Ulex europaeus","Phillips, J.W.","California Dept of Food and Agriculture","1965-07-02",1965,,,,,,,"Nevada","39.36588","-121.10628","Private ppty adj to cemetery.",
"xr178752","Ulex europaeus","Thomas 14139","California Dept of Food and Agriculture","1968-02-03",1968,,,,,,,"Mendocino","39.37954","-123.81459","3.2 mi S of Noyo River bridge, Hwy 1 (ca. 1 mi. N of Caspar). 200 ft. el.",
"xr178724","Ulex europaeus","Fuller 19797","California Dept of Food and Agriculture","1970-09-30",1970,,,,,,,"Nevada","39.36588","-121.10628","hillslope adj to cemetery.",
"xr176847","Ulex europaeus","Ferlatte, W.J./Sonder","California Dept of Food and Agriculture","1971-01-31",1971,,,,,,,"Sonoma","38.2211","-122.5649","Lakeville Rd., 5.2 mi. W of Hwy 37. District detection report only, no confirming specimen.",
