"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"wb1255-44","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0 Acres","63.0",,"* USDA Forest Service","Plumas","39.81845909","-120.39922351","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-91","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0568 Acres","85.0",,"* USDA Forest Service","Plumas","39.81927244","-120.38891799","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-101","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"8.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.8166056","-120.38328759","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-111","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"6.0E-4 Acres","63.0",,"* USDA Forest Service","Plumas","39.81820568","-120.40062971","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-119","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","63.0",,"* USDA Forest Service","Plumas","39.81913635","-120.3852031","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-244","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","15.0",,"* USDA Forest Service","Plumas","39.81845649","-120.3995977","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-259","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","63.0",,"* USDA Forest Service","Plumas","39.82480526","-120.66385134","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-267","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"1.0E-4 Acres","15.0",,"* USDA Forest Service","Plumas","39.81726131","-120.39983945","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-269","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0941 Acres","15.0",,"* USDA Forest Service","Plumas","39.8165488","-120.39631222","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-271","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.8355 Acres","15.0",,"* USDA Forest Service","Plumas","39.81677176","-120.38238606","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-302","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"2.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81682865","-120.39937219","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-304","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0701 Acres","15.0",,"* USDA Forest Service","Plumas","39.8158085","-120.39877112","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-327","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0307 Acres","15.0",,"* USDA Forest Service","Plumas","39.81744914","-120.40075243","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-334","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0271 Acres","3.0",,"* USDA Forest Service","Plumas","39.81779606","-120.4001661","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-392","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","38.0",,"* USDA Forest Service","Plumas","39.82007267","-120.40376335","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-437","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"2.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.84844396","-120.68124534","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-448","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"3.0E-4 Acres","63.0",,"* USDA Forest Service","Plumas","39.81670087","-120.39907302","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1255-473","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0 Acres","38.0",,"* USDA Forest Service","Plumas","39.81994492","-120.404504","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-22","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0011 Acres","15.0",,"* USDA Forest Service","Plumas","39.81982657","-120.40608532","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-59","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"3.0E-4 Acres","3.0",,"* USDA Forest Service","Plumas","39.81817072","-120.40102517","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-71","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.1154 Acres","15.0",,"* USDA Forest Service","Plumas","39.81698981","-120.38285348","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-90","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"3.0569 Acres","38.0",,"* USDA Forest Service","Plumas","39.81554126","-120.38133883","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-152","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0782 Acres","15.0",,"* USDA Forest Service","Plumas","39.8183381","-120.39995147","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-195","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","85.0",,"* USDA Forest Service","Plumas","39.81786725","-120.39323018","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-215","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0011 Acres","38.0",,"* USDA Forest Service","Plumas","39.81658216","-120.39538328","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-249","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0294 Acres","3.0",,"* USDA Forest Service","Plumas","39.81819461","-120.39131784","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-286","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.2671 Acres","15.0",,"* USDA Forest Service","Plumas","39.81476083","-120.38240446","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-352","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0 Acres","85.0",,"* USDA Forest Service","Plumas","39.81650458","-120.39687124","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-398","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.820315","-120.40449555","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-423","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81616387","-120.39978846","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-433","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0028 Acres","63.0",,"* USDA Forest Service","Plumas","39.81952541","-120.408607","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1256-438","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0913 Acres","3.0",,"* USDA Forest Service","Plumas","39.81665762","-120.39471192","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-22","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","85.0",,"* USDA Forest Service","Plumas","39.81824292","-120.38549221","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-65","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0528 Acres","3.0",,"* USDA Forest Service","Plumas","39.81762125","-120.38271333","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-169","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0011 Acres","63.0",,"* USDA Forest Service","Plumas","39.81920518","-120.40255355","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-193","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"1.0E-4 Acres","15.0",,"* USDA Forest Service","Plumas","39.81875803","-120.40197553","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-202","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0894 Acres","3.0",,"* USDA Forest Service","Plumas","39.81840909","-120.38408628","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-214","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"3.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81781428","-120.39206958","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-253","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81968237","-120.40437099","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-274","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0011 Acres","38.0",,"* USDA Forest Service","Plumas","39.81846061","-120.40090413","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-287","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81755439","-120.40038281","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-314","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0011 Acres","63.0",,"* USDA Forest Service","Plumas","39.81606569","-120.3981915","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-344","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0033 Acres","63.0",,"* USDA Forest Service","Plumas","39.81589341","-120.39834558","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-353","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","63.0",,"* USDA Forest Service","Plumas","39.81708188","-120.38312626","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-374","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.182 Acres","3.0",,"* USDA Forest Service","Plumas","39.81649265","-120.3994506","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1257-376","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"1.0E-4 Acres","85.0",,"* USDA Forest Service","Plumas","39.84847589","-120.68141655","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-28","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0016 Acres","38.0",,"* USDA Forest Service","Plumas","39.81864023","-120.40211725","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-67","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"8.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81897899","-120.40244109","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-375","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0 Acres","15.0",,"* USDA Forest Service","Plumas","39.81732993","-120.40163722","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-382","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"2.0E-4 Acres","3.0",,"* USDA Forest Service","Plumas","39.82027624","-120.40731925","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-384","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"4.0E-4 Acres","63.0",,"* USDA Forest Service","Plumas","39.81797403","-120.39314038","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-402","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"5.0E-4 Acres","38.0",,"* USDA Forest Service","Plumas","39.81920563","-120.38919423","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-413","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"1.0E-4 Acres","15.0",,"* USDA Forest Service","Plumas","39.81870877","-120.40185193","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
"wb1258-457","Lepidium latifolium","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"0.0148 Acres","38.0",,"* USDA Forest Service","Plumas","39.81839106","-120.38548673","Forest Service Pacific Southwest Region (National Forest System Lands in California)",
