"ID","Taxon","Common Name","Observer","Source","Date","Year","Number of Plants","Management Status","Detail URL"
"wb1255-44","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-44"
"wb1255-91","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-91"
"wb1255-101","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-101"
"wb1255-111","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-111"
"wb1255-119","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-119"
"wb1255-244","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-244"
"wb1255-259","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-259"
"wb1255-267","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-267"
"wb1255-269","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-269"
"wb1255-271","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-271"
"wb1255-302","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-302"
"wb1255-304","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-304"
"wb1255-327","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-327"
"wb1255-334","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-334"
"wb1255-392","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-392"
"wb1255-437","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-437"
"wb1255-448","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-448"
"wb1255-473","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1255-473"
"wb1256-22","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-22"
"wb1256-59","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-59"
"wb1256-71","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-71"
"wb1256-90","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-90"
"wb1256-152","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-152"
"wb1256-195","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-195"
"wb1256-215","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-215"
"wb1256-249","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-249"
"wb1256-286","Lepidium latifolium","Perennial pepperweed","James Johnson","PLUMAS NATIONAL FOREST","1901-01-01",1901,,,"http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1256-286"
