"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
,"Lepidium latifolium",,,"1936-01-01",1935,,,,,,,"Stanislaus",37.570186,-121.00297,,
"xr176536","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1960-01-01",1960,,,,,,,"Solano","38.0766","-121.9609",,
"xr176618","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1960-01-01",1960,,,,,,,"Solano","38.1199","-121.9609","Grizzly Island.",
"xr177128","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1960-01-01",1960,,,,,,,"Solano","38.3656","-121.723",,
"xr177285","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1960-01-01",1960,,,,,,,"Solano","38.4523","-121.8328","Dixon.",
"xr177315","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1960-01-01",1960,,,,,,,"Solano","38.4668","-121.8328",,
"xr176518","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1961-01-01",1961,,,,,,,"Contra Costa","38.0621","-122.2538","Hwy 29, 0.75 mi. N/e of Hwy.",
"xr176592","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1969-01-01",1969,,,,,,,"Solano","38.1055","-122.2172","Gross acres area encompasses parts of Secs. 5, 17.",
"xr176645","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1969-01-01",1969,,,,,,,"Solano","38.1344","-122.2172","Gross acres area encompasses parts of sections 5, 17.",
"xr176754","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1970-01-01",1970,,,,,,,"Solano","38.1777","-122.089",,
"xr176793","Lepidium latifolium","Schrock","California Dept of Food and Agriculture","1970-07-15",1970,,,,,,,"Sonoma","38.1922","-122.5832","Novato; NWPRR crossing Co. line, in Petaluma marshes.",
"xr176290","Lepidium latifolium","Schrock","California Dept of Food and Agriculture","1971-03-23",1971,,,,,,,"Marin","37.8743","-122.4551",,
"xr176351","Lepidium latifolium","Blackwell","California Dept of Food and Agriculture","1971-07-16",1971,,,,,,,"Marin","37.9321","-122.51","Corte Madera; next to RR tracks, 0.25 mi. S/Paradise Dr.",
"xr176872","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.2355","-122.6015","Wilson St., N/s abandoned dwelling. 5000 sq. ft.",
"xr176891","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.25","-122.4368","N/s NWPRR station/8th St.",
"xr177112","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.3511","-122.693","Liberty Rd.",
"xr177135","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.3656","-122.7296","Petaluma; Pepper Ln.",
"xr177176","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.3945","-122.693","Cotati; Fern Ave.",
"xr177270","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.4379","-122.7296","Baker St/Beechwood, along RR tracks.",
"xr177342","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.4812","-122.7296","Hopper Ln.",
"xr177344","Lepidium latifolium","Violetti","California Dept of Food and Agriculture","1971-04-01",1971,,,,,,,"Sonoma","38.4812","-122.8577","River Rd/Olivet, NE edge of pond. Also Wolsey Rd.",
"xr176441","Lepidium latifolium","Beutler","California Dept of Food and Agriculture","1972-07-28",1972,,,,,,,"Contra Costa","38.0043","-121.7962","Antioch; Fulton Rd.",
"xr176494","Lepidium latifolium","DeHoop","California Dept of Food and Agriculture","1972-05-04",1972,,,,,,,"Solano","38.0477","-122.1622","waterfront E of railroad depot.",
"xr176516","Lepidium latifolium","W. Y.","California Dept of Food and Agriculture","1972-01-01",1972,,,,,,,"Solano","38.0621","-122.1805","waterfront.",
"xr176672","Lepidium latifolium","Ferlatte","California Dept of Food and Agriculture","1972-08-23",1972,,,,,,,"Sonoma","38.1488","-122.4551","Hwy 37, 1 mi. N/Lakeville Rd., 0.01 mi S/mile post 3.22.",
"xr177206","Lepidium latifolium","Key","California Dept of Food and Agriculture","1972-07-06",1972,,,,,,,"Sonoma","38.409","-122.8211","Sebastopol; Morris St.",
"xr176442","Lepidium latifolium","Heisler","California Dept of Food and Agriculture","1975-04-15",1975,,,,,,,"Contra Costa","38.0043","-121.8145","Antioch; Windsor Dr.",
"xr176977","Lepidium latifolium","Gadd","California Dept of Food and Agriculture","1975-10-01",1975,,,,,,,"Sonoma","38.2789","-122.7113","Petaluma; Live Oak Dr.",
"xr177137","Lepidium latifolium","Gadd","California Dept of Food and Agriculture","1975-05-09",1975,,,,,,,"Sonoma","38.3656","-122.7662","Sebastopol; Llano Rd.",
"xr177271","Lepidium latifolium","Gadd","California Dept of Food and Agriculture","1975-10-01",1975,,,,,,,"Sonoma","38.4379","-122.7296","NWPRR/Ninth St.",
"xr177574","Lepidium latifolium","Gadd","California Dept of Food and Agriculture","1975-05-01",1975,,,,,,,"Sonoma","38.6257","-122.876","Healdsburg; Lytton Rd.",
"xr177623","Lepidium latifolium","Bradbury","California Dept of Food and Agriculture","1975-01-01",1975,,,,,,,"Sonoma","38.6546","-122.8394","Alexander Valley Rd.",
"xr177375","Lepidium latifolium","Ferlatte","California Dept of Food and Agriculture","1976-06-02",1976,,,,,,,"Solano","38.5101","-121.7779","Davis; I-80 E/bound, 0.2 mi. E/marker 41:00.",
"xr176972","Lepidium latifolium","Foskett","California Dept of Food and Agriculture","1977-05-28",1977,,,,,,,"Napa","38.2789","-122.2721","Napa; J.F. Kennedy Park.",
"xr177441","Lepidium latifolium","Foskett","California Dept of Food and Agriculture","1977-06-07",1977,,,,,,,"Napa","38.55309","-122.37265","Rutherford.",
"xr177592","Lepidium latifolium","Thorp","California Dept of Food and Agriculture","1977-05-17",1977,,,,,,,"Napa","38.6402","-122.2355","Spanish Flat; Lake Berryessa.",
"xr175912","Lepidium latifolium","Haskell","California Dept of Food and Agriculture","1978-04-26",1978,,,,,,,"Santa Clara","37.354","-121.9243","San Jose; SPRR.",
"eb8015","Symphyotrichum lentum","Ely and Knight","East Bay CNPS Rare and Unusual Plants Database","1978-11-01",1978,,,,,,,"Contra Costa","38.0388","-121.865","Browns Island",
"xr333001","Lepidium latifolium","Knight, Walter","G.F. Hrusa checklists","1980-01-01",1980,,,,,,,"Contra Costa","38.03333","-121.86667","Sacramento River Delta; Accessible by boat from Port of Stockton.",
"xr325513","Aster lentus","Knight, Walter","G.F. Hrusa checklists","1980-01-01",1980,,,,,,,"Contra Costa","38.03333","-121.86667","Sacramento River Delta; Accessible by boat from Port of Stockton.",
"eb8016","Symphyotrichum lentum","J. Dean","East Bay CNPS Rare and Unusual Plants Database","1980-10-01",1980,,,,,,,"Contra Costa","38.0388","-121.865","Browns Island",
"eb2749","Symphyotrichum lentum","Walter Knight","East Bay CNPS Rare and Unusual Plants Database","1980-01-01",1980,,,,,,,"Contra Costa","38.0388","-121.865","Browns Island",
"eb291","Symphyotrichum lentum","Jeff Greenhouse","East Bay CNPS Rare and Unusual Plants Database","1984-01-01",1984,,,,,,,"Contra Costa","38.0148","-121.793","Antioch Dunes",
"jgr1273","Symphyotrichum lentum","Jeff Greenhouse",,"1984-08-19",1984,,,,,,"Other / Unknown","Contra Costa","38.0148","-121.793","Antioch Dunes National Wildlife Refuge",
"eb8017","Symphyotrichum lentum","WESCO","East Bay CNPS Rare and Unusual Plants Database","1985-06-01",1985,,,,,,,"Contra Costa","38.0182","-121.751","Antioch Shoreline",
"eb11234","Symphyotrichum lentum","Walter Knight","East Bay CNPS Rare and Unusual Plants Database","1985-01-01",1985,,,,,,,"Contra Costa","38.0148","-121.793","Antioch Dunes",
"jgr16758","Lepidium latifolium","Jeff Greenhouse",,"1986-05-11",1986,,,,,,"Other / Unknown","Solano","38.2708","-121.82","Jepson Prairie",
"eb8040","Symphyotrichum lentum","V. Dains","East Bay CNPS Rare and Unusual Plants Database","1986-01-01",1986,,,,,,,"Contra Costa","37.9755","-121.581","Rock Slough",
"casp43","Lepidium latifolium","Martens & Helm, 1987","California State Parks","1987-01-01",1987,,"x",,,,"State Government","Contra Costa","38.04448","-121.60828","Franks Tract SRA",
