"Taxon","Common","Observer","Source","year","date","InfestedArea","Percent Cover","GrossArea","Low_Plant","High_Plant","lat","lng","Datum","Elevation (meters)","Notes","description"
"Carpobrotus edulis origin","Highway Iceplant",,,2005,"1905-01-01 10:00:26+01",,,,,1000,37.71717,-122.503487,,,,"Iceplant was widely planted in the early 1900s to stabilize sand dunes."
"Lepidium latifolium origin","Perennial pepperweed",,,2005,1930,,,,,1000,37.901432,-120.856028,,,,"The first published record of perennial pepperweed in California is from 1936, when it was collected on a ranch north of Oakdale in Stanislaus County."
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","K. Brandegee","Consortium of California Herbaria",1990,"1990-07-01","x"," "," ",,1,37.7976,-122.4649,"NAD83",84,"UC91748",
"Cordylanthus mollis ssp. mollis","Soft bird's-beak","L. R. Heckard","Consortium of California Herbaria",1966,"1966-08-17","x"," "," ",,1,38.157997,-122.562904,"NAD83",3,"JEPS47455",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","G. Thomas Robbins","Consortium of California Herbaria",1958,"1958-08-31","x"," "," ",,1,38.1581,-122.5642,"NAD83",2,"OBI9581",
"Cordylanthus mollis ssp. mollis","Soft bird's-beak","G. Thomas Robbins","Consortium of California Herbaria",1958,"1958-08-31","x"," "," ",,1,38.15717,-122.55462,"NAD83",3,"JEPS25005",
"Chloropyron molle ssp. molle","Soft bird's-beak","Milo S. Baker","Consortium of California Herbaria",1945,"1945-07-31","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"DS313190",
"Cordylanthus mollis ssp. mollis","Soft bird's-beak","Milo S. Baker","Consortium of California Herbaria",1945,"1945-07-31","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"DS313190",
"Chloropyron molle ssp. molle","Soft bird's-beak","Hans Leschke","Consortium of California Herbaria",1945,"1945-07-08","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"CAS431789",
"Cordylanthus mollis ssp. mollis","Soft bird's-beak","J. T. Howell","Consortium of California Herbaria",1945,"1945-07-08","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"HSC24634",
"Chloropyron molle ssp. molle","Soft bird's-beak","John Thomas Howell","Consortium of California Herbaria",1945,"1945-07-08","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"CAS326234",
"Cordylanthus mollis","Soft bird's beak","J. T. Howell","Consortium of California Herbaria",1945,"1945-07-08","x"," "," ",,1,38.1557,-122.5646,"NAD83",0,"HSC24634",
"Cordylanthus mollis ssp. mollis","Soft bird's-beak","J. Burtt Davy","Consortium of California Herbaria",1997,"1997-09-19","x"," "," ",,1,37.971,-122.5113,"NAD83",0,"UC26327",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Phillip Williams Assoc.","East Bay CNPS Rare and Unusual Plants Database",2010,"2010-07-20"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al Not found in recent attempts by CNPS to relocate",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Kevin Hintsa","East Bay CNPS Rare and Unusual Plants Database",2005,"2005-10-04"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. Abundant",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Nancy Hillyard on CNPS field trip by Chris Thayer","East Bay CNPS Rare and Unusual Plants Database",2003,"2003-09-13"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Dianne Lake","East Bay CNPS Rare and Unusual Plants Database",2003,"2003-06-24"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al",
