"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"wb887-228","Artemisia douglasiana","staff","UCLA Herbarium",1927-11-11,1927,"Flowering",,,,,"Other / Unknown","Los Angeles","34.13787571","-118.29153475","unspecific",
"xr325488","Artemisia douglasiana","Howell, John Thomas","G.F. Hrusa checklists",1929-01-01,1929,,,,,,,"Riverside","33.86667","-117.66667","San Gabriel Mountains; SE end of Puente Hills is N wall; N end Santa Ana Mts. is the south wall.",
"xr164653","Elymus triticoides","staff","California Vegetation Type Map",1936-03-12,1936,,,,,,,"San Luis Obispo","35.3100014","-120.7099991",,
"gr2128","Artemisia douglasiana","Howell, J.T. 16133","G.F. Hrusa checklists",1940-01-01,1940,,"x",,,,"Public Land","Fresno","36.76667","-118.4","Kings-Kern Divide, part II Sierra Club Base Camp",
"wb887-233","Artemisia douglasiana","staff","UCLA Herbarium",1942-11-01,1942,,,,,,"Other / Unknown","Los Angeles","34.08099257","-118.85963711","W-fork Trancas Canyon (Rattlesnake Cyn)",
"gr14115","Artemisia douglasiana","Rubtzoff, Peter Rubtzoff 138","G.F. Hrusa checklists",1953-01-01,1953,,"x",,,,"Public Land","Sonoma","38.41667","-122.81667","Pitkin Marsh North Coast Biodiversity Arena; Highway 12 E from Hwy 101 to Green Valley Creek.",
"wb887-229","Artemisia douglasiana","staff","UCLA Herbarium",1958-10-11,1958,"Flowering",,,,,"Other / Unknown","Los Angeles","34.03970188","-118.58901947","at Pacific Coast Hwy",
"casp59","Elymus triticoides","Griffin and Waring, 1959","California State Parks",1959-01-01,1959,,"x",,,,"State Government","Humboldt","40.31473","-123.96462","Humboldt Redwoods SP",
"casp59","Artemisia douglasiana","Griffin and Waring, 1959","California State Parks",1959-01-01,1959,,"x",,,,"State Government","Humboldt","40.31473","-123.96462","Humboldt Redwoods SP",
"wb887-231","Artemisia douglasiana","staff","UCLA Herbarium",1959-03-08,1959,"Mature",,,,,"Other / Unknown","Los Angeles","34.05151974","-118.58165656","1.1 mi N of Pacific Coast Hwy",
"wb887-234","Artemisia douglasiana","staff","UCLA Herbarium",1959-03-15,1959,"Mature",,,,,"Other / Unknown","Los Angeles","34.00780179","-118.80931399","Point Dume",
"wb912-67","Elymus triticoides","staff","UCLA Herbarium",1959-06-04,1959,"Fruiting",,,,,"Other / Unknown","Los Angeles","34.00152343","-118.80701534","Point Dume",
"wb887-230","Artemisia douglasiana","staff","UCLA Herbarium",1959-09-06,1959,"Flowering",,,,,"Other / Unknown","Los Angeles","34.03841807","-118.68539919","near mouth",
"wb892-70","Artemisia douglasiana","staff","UCLA Herbarium",1959-10-18,1959,"Flowering",,,,,"Other / Unknown","Los Angeles","34.0388772","-118.58304646","near mouth of canyon",
"wb887-232","Artemisia douglasiana","staff","UCLA Herbarium",1959-10-25,1959,"Flowering",,,,,"Other / Unknown","Los Angeles","34.08416684","-118.91714456","1.6 mi N of Pacific Coast Hwy",
"wb887-236","Artemisia douglasiana","staff","UCLA Herbarium",1966-10-15,1966,"Flowering",,,,,"Other / Unknown","Los Angeles","34.09934038","-118.50775167","unspecific",
"gr13842","Elymus triticoides","Thomas J.H.","USDA NRCS-National Plants Data Center: Botanical Literature",1967-01-01,1967,,"x",,,,"Public Land","San Mateo","37.109613","-122.340402","Ano Nuevo Island terrestrial vascular plants",
"wb887-237","Artemisia douglasiana","staff","UCLA Herbarium",1967-09-16,1967,"Flowering",,,,,"Other / Unknown","Los Angeles","34.04468017","-118.55228087","at Sunset Blvd",
"casp72","Elymus triticoides","Howitt and Vandevere, 1969","California State Parks",1969-01-01,1969,,"x",,,,"State Government","Monterey","36.16373","-121.67841","Julia Pfeiffer Burns SP",
"gr15909","Artemisia douglasiana","Rice, Barbara Mineral King","G.F. Hrusa checklists",1969-01-01,1969,,"x",,,,"Public Land","Tulare","36.453874","-118.593292","Mineral King Sequoia National Forest; E. Fk. Kaweah R., head of Mineral King Rd. off Hwy. 198 above Three Rivers.",
"wb887-238","Artemisia douglasiana","staff","UCLA Herbarium",1969-09-25,1969,"Flowering",,,,,"Other / Unknown","Ventura","34.07043939","-119.0143539","mouth of canyon",
"gr13934","Elymus triticoides","staff","The Nature Conservancy",1970-01-01,1970,,"x",,,,"Public Land","Solano","38.2700005","-121.7799988","JEPSON PRAIRIE PRESERVE",
"gr13959","Artemisia douglasiana","Barbour, M. G.","USDA NRCS-National Plants Data Center: Botanical Literature",1970-01-01,1970,,"x",,,,"Public Land","Sonoma","38.311","-123.066","Flora and plant communities of Bodega Head",
"xr331278","Elymus triticoides","Anonymous","G.F. Hrusa checklists",1971-01-01,1971,,,,,,,"San Benito","36.36667","-120.61667","Diablo Range; Clear Creek Rd. out of Coalinga, NW",
"wb912-51","Elymus triticoides","staff","UCLA Herbarium",1972-04-01,1972,"Mature",,,,,"Other / Unknown","Los Angeles","34.10025536","-118.54299783","Shovel Spring",
"wb912-52","Elymus triticoides","staff","UCLA Herbarium",1972-04-20,1972,"Dead / skeleton",,,,,"Other / Unknown","Los Angeles","34.10244105","-118.54845764","near spring in canyon section  E ",
"gr8338","Elymus triticoides","Savage, Wayne","G.F. Hrusa checklists",1973-01-01,1973,,"x",,,,"Public Land","Sierra","39.4498","-120.1816","Sagehen Creek UC Reserves",
"gr8338","Artemisia douglasiana","Savage, Wayne","G.F. Hrusa checklists",1973-01-01,1973,,"x",,,,"Public Land","Sierra","39.4498","-120.1816","Sagehen Creek UC Reserves",
"gr6939","Elymus triticoides","Griffin, James R.","G.F. Hrusa checklists",1974-01-01,1974,,"x",,,,"Public Land","Monterey","36.36667","-121.55","Hastings Natural History Reservation Santa Lucia Mountains; Hwy 1 E on Carmel Valley Rd. to past Carmel Valley Village.",
"gr6939","Elymus triticoides","Griffin, James R.","G.F. Hrusa checklists",1974-01-01,1974,,"x",,,,"Public Land","Monterey","36.36667","-121.55","Hastings Natural History Reservation Santa Lucia Mountains; Hwy 1 E on Carmel Valley Rd. to past Carmel Valley Village.",
"gr6939","Artemisia douglasiana","Griffin, James R.","G.F. Hrusa checklists",1974-01-01,1974,,"x",,,,"Public Land","Monterey","36.36667","-121.55","Hastings Natural History Reservation Santa Lucia Mountains; Hwy 1 E on Carmel Valley Rd. to past Carmel Valley Village.",
"casp30","Artemisia douglasiana","Jones & Stokes, 1974","California State Parks",1974-01-01,1974,,"x",,,,"State Government","Orange","33.56865","-117.84385","Crystal Cove SP",
"casp84","Elymus triticoides","Resource Management, 1975","California State Parks",1975-01-01,1975,,"x",,,,"State Government","Los Angeles","34.08724","-118.66792","Malibu Creek SP",
"gr6935","Artemisia douglasiana","Griffin, James R.","G.F. Hrusa checklists",1975-01-01,1975,,"x",,,,"Public Land","Monterey","36.316992","-121.576251","Chews Ridge Santa Lucia Mountains; Hwy 1 to Carmel Valley Rd. to Cachaugua Rd. toward Tassajara Hot Spr.",
"gr6936","Artemisia douglasiana","Griffin, James R.","G.F. Hrusa checklists",1975-01-01,1975,,"x",,,,"Public Land","Monterey","36.65","-121.38333","Cone Peak Santa Lucia Mountains; Hwy 1 to Nacimiento Fergesun Rd. N on Coast Ridge Rd. to trailhead",
"gr6940","Artemisia douglasiana","Griffin, James R.","G.F. Hrusa checklists",1975-01-01,1975,,"x",,,,"Public Land","Monterey","36.15","-121.41667","Junipero Serra Peak Santa Lucia Mountains; Hwy 101 to Hunter Ligget W to trailhead",
"gr6942","Artemisia douglasiana","Griffin, James R.","G.F. Hrusa checklists",1975-01-01,1975,,"x",,,,"Public Land","Monterey","36.26667","-121.65","Pine Ridge Santa Lucia Mountains; Hwy 1 to Carmel Valley Rd. to Cachaugua Rd. trailhead at Church Ck. divide",
"casp84","Artemisia douglasiana","Resource Management, 1975","California State Parks",1975-01-01,1975,,"x",,,,"State Government","Los Angeles","34.08724","-118.66792","Malibu Creek SP",
"gr201","Elymus triticoides","Dean Wm. Taylor","Dean W. Taylor Herbarium Specimens",1975-07-01,1975,,"x",,,,"Public Land","Alpine","38.5","-119.55","Little Antelope Valley, near Mono County border, along trail from pack station to upper reaches Fish Valley",
"casp14","Elymus triticoides","Rowell, 1976","California State Parks",1976-01-01,1976,,"x",,,,"State Government","Los Angeles","34.73807","-118.38401","Antelope Valley California Poppy Preserve (SN",
"casp79","Elymus triticoides","Werminski, 1976","California State Parks",1976-01-01,1976,,"x",,,,"State Government","Riverside","33.87321","-117.16588","Lake Perris SRA",
"gr6225","Artemisia douglasiana","Largent, D. , Sommer, J. MB 484","G.F. Hrusa checklists",1976-01-01,1976,,"x",,,,"Public Land","Mendocino","39.682222","-123.656616","Northern Ca. Coast Range Preserve Mendocino National Forest; Branscomb Rd. W of US 101, S. Fk Eel R.",
"xr168156","Elymus triticoides","Dean Wm. Taylor","Dean W. Taylor Herbarium Specimens",1976-08-02,1976,,,,,,,"Mono","38.24583","-119.20361","Travertine Hot Springs 2 miles East of Bridgeport",
"casp110","Elymus triticoides","Barry, 1977","California State Parks",1977-01-01,1977,,"x",,,,"State Government","Monterey","36.51678","-121.9518","Point Lobos SR",
"GG202","Elymus triticoides","Ida Geary","Presidio Natural Resources",1977-01-01,1977,,"x","15.40 Acres",,,"Public Land","San Francisco","37.808242","-122.47345","Fort Point",
"casp110","Elymus triticoides","Barry, 1977","California State Parks",1977-01-01,1977,,"x",,,,"State Government","Monterey","36.51678","-121.9518","Point Lobos SR",
"casp92","Elymus triticoides","Burch et al., 1977","California State Parks",1977-01-01,1977,,"x",,,,"State Government","Mono","38.00388","-119.01642","Mono Lake Tufa SNR",
"gr14116","Artemisia douglasiana","Hektner, M;  Foin, T.","G.F. Hrusa checklists",1977-01-01,1977,,"x",,,,"Private Landowner","Sonoma","38.73333","-123.48333","Sea Ranch North Coast; Hwy 1 on W side above Ft. Ross. (private)",
"ce437","Artemisia douglasiana","J Sawyer","US Forest Service",1977-01-01,1977,,"x","1603 Acres",,,"Public Land","Tulare","36.221703","-118.592605","South Mountaineer Creek Sequoia National Forest",
"casp110","Artemisia douglasiana","Barry, 1977","California State Parks",1977-01-01,1977,,"x",,,,"State Government","Monterey","36.51678","-121.9518","Point Lobos SR",
"wb908-85","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.16004518","-118.69323778","Las Virgenes Ranch",
"wb908-106","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.15103035","-118.69305771","Las Virgenes Ranch",
"wb908-107","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.15103035","-118.69305771","Las Virgenes Ranch",
"wb908-128","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.1511794","-118.68221452","Las Virgenes Ranch",
"wb908-129","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.1511794","-118.68221452","Las Virgenes Ranch",
"wb908-150","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.16019428","-118.68239344","Las Virgenes Ranch",
"wb908-151","Elymus triticoides","staff","UCLA Herbarium",1977-06-01,1977,,,,,,"Other / Unknown","Los Angeles","34.16019428","-118.68239344","Las Virgenes Ranch",
"gr4083","Elymus triticoides","Dean Wm. Taylor","Dean W. Taylor Herbarium Specimens",1977-06-18,1977,,"x",,,,"Other / Unknown","Inyo","37.17528","-118.25806","Owens River near Big Pine",
"wb909-7","Elymus triticoides","staff","UCLA Herbarium",1977-12-19,1977,,,,,,"Other / Unknown","Los Angeles","34.04991043","-118.53070921","N of Sunset Blvd at Temescal Canyon Rd, below conference grounds",
"wb889-33","Artemisia douglasiana","staff","UCLA Herbarium",1977-12-19,1977,,,,,,"Other / Unknown","Los Angeles","34.04991043","-118.53070921","N of Sunset Blvd at Temescal Canyon Rd, below conference grounds",
"wb908-198","Elymus triticoides","staff","UCLA Herbarium",1978-01-01,1978,,,,,,"Other / Unknown","Los Angeles","34.12553008","-118.61122663","NW of Glenview from 0.1 to 0.4 mi",
"wb908-199","Elymus triticoides","staff","UCLA Herbarium",1978-01-01,1978,,,,,,"Other / Unknown","Los Angeles","34.12553008","-118.61122663","NW of Glenview from 0.1 to 0.4 mi",
