"ID","Taxon","Observer","Source","Date","Year","Phenology","InfestedArea","GrossArea","Percent Cover","Distribution","National Ownership","County","x","y","Location Description","!Comments"
"wb1342-127","Foeniculum vulgare","Strohm, Hayley","Susie Bennett-GGNRA","1899-12-30",1899,"Mature",,"291 Square Meters",,,"* National Park Service","San Mateo","37.550711","-122.508744","Rancho Corral de Tierra boundaries, though some patches of weeds (particularly trees) may be mapped outside the boundary to reflect the actual shape of the patch.",
"xr328308","Salvia mellifera","Howell, John Thomas","G.F. Hrusa checklists","1929-01-01",1929,,,,,,,"Riverside","33.86667","-117.66667","San Gabriel Mountains; SE end of Puente Hills is N wall; N end Santa Ana Mts. is the south wall.",
"xr325466","Artemisia californica","Howell, John Thomas","G.F. Hrusa checklists","1929-01-01",1929,,,,,,,"Riverside","33.86667","-117.66667","San Gabriel Mountains; SE end of Puente Hills is N wall; N end Santa Ana Mts. is the south wall.",
"wb887-224","Artemisia californica","staff","UCLA Herbarium","1930-02-22",1930,"Mature",,,,,"Other / Unknown","Los Angeles","34.09934038","-118.50775167","unspecific",
"xr164319","Artemisia californica","staff","California Vegetation Type Map","1930-06-06",1930,,,,,,,"Monterey","35.9000015","-120.8899994",,
"xr141366","Salvia mellifera","staff","California Vegetation Type Map","1930-10-27",1930,,,,,,,"San Luis Obispo","35.2000008","-120.7099991",,
"xr161800","Artemisia californica","staff","California Vegetation Type Map","1930-10-27",1930,,,,,,,"San Luis Obispo","35.2000008","-120.7099991",,
"xr164907","Artemisia californica","staff","California Vegetation Type Map","1930-11-01",1930,,,,,,,"San Luis Obispo","35.1199989","-120.5100021",,
"xr146005","Artemisia californica","staff","California Vegetation Type Map","1930-11-14",1930,,,,,,,"Santa Barbara","34.9099998","-120.2099991",,
"xr165178","Artemisia californica","staff","California Vegetation Type Map","1930-12-16",1930,,,,,,,"San Luis Obispo","35.0900002","-120.4000015",,
"xr162144","Artemisia californica","staff","California Vegetation Type Map","1930-12-18",1930,,,,,,,"San Luis Obispo","35.2099991","-120.4599991",,
